Clients,PingResult,PingVariance,UploadThroughput,UploadThroughputVariance,UploadThroughputPeak,DownloadThroughput,DownloadThroughputVariance,DownloadThroughputPeak,UploadPacketRate,UploadPacketRateVariance,DownloadPacketRate,DownloadPacketRateVariance,FPS,FPSVariance
2,109.8718,67614.76,863.58,349428.3,5360.007,683.9011,203044.3,3866.039,11.69231,82.26312,10.71795,64.1842,158.6154,0
3,54.43396,8631.273,1562.544,684205.6,3402.959,1422.37,635800.1,5140.385,22.37736,155.7885,22.45283,169.3269,158.7924,0
4,71.64198,10621.89,2198,1376191,3627.043,2814.298,2453057,5387.578,34.2963,344.1154,42,522.5769,159.7778,0
5,48.08974,2901.351,3346.052,3547140,10869.23,3382.235,3526763,8342.213,48.66667,742.9213,51.4359,830.2896,158.7179,0
6,48.32608,2301.532,4233.561,5004531,6823.213,3422.163,3247980,6785.846,61.30435,1093.822,56,922.8,158.6956,0
7,50.03431,2120,5394.31,8209140,9247.557,4740.713,6242101,8895.624,77.17647,1715.454,73.76471,1566.606,159.1765,0
8,46.62857,1338.204,5309.27,8203886,8974.665,5529.659,8361731,9364.521,82.3,1974.975,88.5,2231.385,158.65,0
9,45.3125,1041.634,5318.473,7866441,8096.845,5409.384,7928394,8141.808,84.4,2002.872,89.2,2253.743,158.9,0
10,41.03703,529.1567,6337.904,1.080157E+07,9829.317,6065.701,9593526,8185.112,100.7143,2775.243,103.2857,2866.171,159.0952,0
11,40.98109,491.9915,6978.129,1.315395E+07,10146.83,6643.612,1.171111E+07,8866.615,110.973,3377.695,113.0811,3524.444,158.8649,0
12,43.03963,550.9901,7191.269,1.396599E+07,10870.06,7406.227,1.455344E+07,10990.21,115.5897,3631.842,123.3333,4164.342,159.0256,0
13,40.27631,328.5916,7325.642,1.488239E+07,11845.22,8261.875,1.810092E+07,12181.96,123.2105,4237.757,139.2105,5317.648,158.7895,0
14,43.08059,494.0899,8466.642,2.024344E+07,14498.69,8615.279,1.99617E+07,14150.85,137.9048,5411.852,146.5238,6185.682,159.1429,0
15,42.38776,423.2547,8995.816,2.2346E+07,14002.66,9326.686,2.343661E+07,14701.01,146.1905,6129.854,156.9524,7036.927,158.8095,0
16,43.72983,389.8914,10479.89,3.024908E+07,16801.19,10263.73,2.77844E+07,14571.41,168.5789,7947.108,176.0526,8506.027,158.5789,0
17,42.10061,325.988,10504.39,3.125942E+07,19476.01,10922.88,3.179267E+07,15993.83,172,8596.95,185.8537,9742.65,158.3902,0
18,40.69411,230.9499,10759.88,3.214987E+07,16195.98,11158.09,3.290271E+07,16232.46,175.55,8583.206,188.15,9635.203,158.7,0
19,38.63249,146.3796,12857.67,4.44241E+07,20583.83,11718.28,3.63395E+07,16629.85,201.4359,11145.95,199.8462,10991.82,158.7692,0
20,40.03373,184.8563,13133.63,4.612709E+07,17289.43,13042.08,4.518205E+07,18328.32,209.7949,12127.08,220.2051,13432.42,158.7179,0
21,40.71097,204.5928,13815.69,5.227711E+07,22720.88,14184.89,5.292521E+07,20380.7,222.9268,13893.65,238.7805,15467.53,158.6341,0
22,40.01429,144.8578,13534.7,4.974714E+07,24791.83,15200.68,6.099507E+07,21171.85,219.25,13385,247.65,16901.77,158.55,0
23,40.37179,137.7067,14389.48,5.567653E+07,21352.36,15414.18,6.211554E+07,19589.35,235.4872,15099.26,259.0769,17980.53,158.4615,0
24,38.2174,82.69846,16774.55,7.765337E+07,27392.25,16536.56,7.174628E+07,22530.66,262.7,19037.34,276.1,20498.56,158.3,0
25,40.65208,155.4607,20849.08,1.336113E+08,69585.88,17602.68,8.268442E+07,28591.03,308.55,28086.85,294.2,24537.75,158.65,0
26,38.156,72.40549,20932.21,1.175619E+08,32213.97,17478.45,8.065113E+07,24960,313.6,26820.31,296.65,24050.64,158.7,0
27,41.93847,127.7163,18273.75,9.283528E+07,27254.38,16967.83,7.673506E+07,22507.14,290.15,23671.31,291.7,23823.29,158.5,0
28,41.33047,117.0007,16912.08,8.311322E+07,28908.25,17786.41,8.454042E+07,26115.13,279.5385,22775.82,302.3077,25760.23,158.8718,0
29,40.196,63.92685,20618.98,1.151152E+08,32658.41,18651.47,9.281778E+07,28878.13,322.3415,28485,318.7317,28252.21,158.8781,0
30,44.12977,97.98218,21622.23,1.291483E+08,37269.04,18310.01,8.931302E+07,24557.12,333.7368,31525.27,316.5263,28247.02,158.8947,0
31,42.50758,111.9476,20407,1.173191E+08,30387.04,19984.85,1.088318E+08,27582.26,321.9091,29644.52,332.4546,31370.53,156.0909,0
